T,Ax,Ay,Bx,By,Cx,Cy,Dx,Dy,Ex,Ey,Fx,Fy,Gx,Gy,Value
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,12.14,-58.97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,74.17,-49.24,0,0,0,0,0,0,0
0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0
0,0,0,0,0,21.63,-77.75,0,0,-16.31,73.21,0,0,0,0,0
0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33.67,148.04,0,0,7402
0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-164.27,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
